"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Bike","EASY with 4 x 30 sec pickups","Custom","Custom","0.5","","5/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","EASY and end with 4 Pickups","Custom","Custom","0.33333","","5/14/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/15/2016","","4343","45","348","26.694"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.164462500678168","7.94399976730347","","27","","","","","","0.522272775284029","4.27","","","","","","","","","","","8","0","1","0","0","0","","","",""
"Bike","","Custom","Custom","","","5/15/2016","","20285","44","278","95.416"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","1.63871717664931","3.44400000572205","","21","","","","","","0.39929795849428","9.47","","","","","","","","","","","91","2","3","1","1","0","","","",""
"Day Off","","Custom","Custom","","","5/16/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","","","5/16/2016","","20123","52","228","128.028"," *06/06/2016 Jamie Brown:   Cyclo-Sphere https://cyclo-sphere.com*","0.692774997287326","8.05599975585938","","42","","","","","","0.397256110789229","10.84","","","","","","","","","","","34","6","2","0","0","0","","","",""
"Day Off","","Custom","Custom","","","5/17/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/18/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","1","","5/19/2016","","45061.632","","","","","1.43333333333333","8.73287441860465","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","2(10x100) held 1:17 left on 1:25","Custom","Custom","1.16666666666667","4114.7998046875","5/19/2016","","4114.8","","","","","1.16666666666667","0.979714285714286","","","","","","","","0.36525974025974","5.69","","","","","","","","","","","","","","","","","","","",""
"Swim","4x400 build 25 hard 75 easy, 50 hard 50 easy, 75 hard 25 easy,100 hard in on 5:30 leave on 6:00.","Custom","Custom","1.5","","5/20/2016","","3383.28","","","","","1","0.9398","","","","","","","","0.350378787878788","4.3","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","0.75","","5/21/2016","","82076.544","","",""," *05/21/2016 Jamie Brown: Tore me up. I have lost a lot of bike fitness.*","2.75","8.29056","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","","Custom","Custom","2","","5/22/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","5/22/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","0.75","","5/23/2016","","7242.048","","",""," *05/24/2016 Jamie Brown: Was very slow and sluggish*","0.75","0.670560000256122","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","Wear Wetsuit","Custom","Custom","1.5","","5/23/2016","","3383.28","","",""," *05/23/2016 Jamie Brown: Sorry did 9(4x50 on 50 sec)*","1","0.9398","","","","","","","","0.350378787878788","4.3","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","5/24/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","","Custom","Custom","1","","5/24/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","After 10min EASY warm-up, do 5 x sprints (different speeds) at any type of distance (for 20 sec, 1min, stop sign to stop sign, etc.) but make sure you recover before each one. End with a 10min cool down.","Custom","Custom","0.75","","5/25/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
